,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
342,1,0.0,4.042850096999999,"[1, 0, 0, 1, 0]",75,512,5
343,2,0.0,4.128050228999999,"[1, 0, 0, 1, 0]",75,512,5
344,4,0.0,4.209299138999999,"[1, 0, 0, 1, 0]",75,512,5
345,8,0.0,4.289787007999998,"[1, 0, 0, 1, 0]",75,512,5
346,16,0.0,4.372732415999998,"[1, 0, 0, 1, 0]",75,512,5
347,32,0.0,4.455357428999999,"[1, 0, 0, 1, 0]",75,512,5
348,64,0.0,4.541947862000001,"[1, 0, 0, 1, 0]",75,512,5
349,128,0.0,4.636246914000001,"[1, 0, 0, 1, 0]",75,512,5
350,256,0.0,4.743275842999999,"[1, 0, 0, 1, 0]",75,512,5
351,512,0.0,4.892241244000001,"[1, 0, 0, 1, 0]",75,512,5
352,0,3.0,4.980304674999999,"[0, 1, 1, 1, 1]",75,512,6
353,1,3.0,4.980683295999999,"[0, 1, 1, 1, 1]",75,512,6
354,2,3.0,5.067525634999999,"[0, 1, 1, 1, 1]",75,512,6
355,4,3.0,5.153726314,"[0, 1, 1, 1, 1]",75,512,6
356,8,3.0,5.2413097099999995,"[0, 1, 1, 1, 1]",75,512,6
357,16,0.0,5.327447355,"[0, 1, 1, 0, 1]",75,512,6
